RegionName,SaleToListPrice,PctPriceCut,DaysOnMarket,BuyerSellerIndex
United States,0.9725,0.1421262081,101,5.012345679
San Francisco,1.0202,0.1055590256,43,0.024691358
San Jose,1.0231,0.1262823644,42,0.1481481481
94565,1.0011,0.0789473684,57,8.202247191
94112,1.1493,0.1166666667,42,2.808988764
94544,1.0195,0.0925925926,53,7.191011236
94110,1.1904,0.0547945205,36,0.4494382022
94587,1.0072,0.1017964072,46,7.3033707865
94538,1.0246,0.0775862069,43,3.7078651685
94501,1.0956,0.0373831776,41,1.6853932584
94536,1.0241,0.0760233918,42,3.2584269663
94513,0.9985,0.1328125,58,9.5505617978
94806,1.0052,0.0754716981,55,7.6404494382
94509,1.0022,0.0695187166,58.5,7.7528089888
94122,1.223,0.0606060606,35,0.2247191011
94109,1.0902,0.0736842105,36,1.3483146067
94541,1.0143,0.0735294118,50.5,5.9550561798
94539,0.9973,0.0642201835,43,6.2921348315
94601,1.1397,0.1086956522,69.5,5.5056179775
94550,1,0.1352941176,46,8.4269662921
94553,1.0016,0.1111111111,45,7.9775280899
94901,0.9962,0.152,43,8.6516853933
94025,1.0682,0.1627906977,39,3.0337078652
94560,1.019,0.0769230769,43.5,4.606741573
94577,1.0425,0.0465116279,47.5,3.3707865169
94116,1.209,0.0175438596,35,0.1123595506
94121,1.1275,0.09375,40.5,2.1348314607
94546,1.0288,0.0787401575,43,3.595505618
94551,1.0013,0.1118421053,42,6.9662921348
94118,1.1269035533,0.04,36,0.7865168539
94605,1.0478,0.095505618,51,5.7303370787
94520,1.0027,0.0833333333,43,5.8426966292
94117,1.1551198257,0.0547945205,33,0.3370786517
94583,1.0033,0.0595238095,44,5.393258427
94568,1.0094,0.1142857143,43,6.6292134831
94555,1.0275,0.0963855422,42.5,3.9325842697
94804,1.0727,0.0864197531,48,4.4943820225
94134,1.0749,0.1,49,4.9438202247
94561,1.0013,0.1575342466,50,9.2134831461
94566,0.9978,0.1954887218,44,9.1011235955
94578,1.0313,0.0535714286,45.5,3.4831460674
94523,1.0049,0.1060606061,45,7.4157303371
94132,1.1957730812,0.0238095238,41,0.8988764045
94521,1.0031,0.1733333333,46,8.5393258427
94582,1,0.1357142857,44,8.3146067416
94526,0.9918,0.224,48,9.8876404494
94531,1.001,0.1059602649,59,8.7640449438
94114,1.1494,0.1204819277,34,1.797752809
94801,1.0484,0.1454545455,63,7.8651685393
94611,1.1254,0.0469798658,40,1.2359550562
94545,1.035,0.0793650794,51,5.1685393258
94598,1.0078,0.0707070707,42.5,4.2696629213
94580,1.0273,0.0357142857,45,3.1460674157
