RegionName,MarketHealthIndex,SellForGain,ForecastYoYPctChange,NegativeEquity
United States,5.009380863,0.8244,0.0292493615,0.1456187464
San Francisco,8.5178236398,0.9377,0.0273635893,0.0537538725
San Jose,9.6060037523,0.9473,0.0356327947,0.0339394587
94002,9.515395116,1,0.0451099911,0.013864818
94005,9.1066282421,1,0.032845332,0.0511695906
94005,8.9792203853,1,0.0330434593,0.0101593166
94014,7.3805551342,1,0.0408171982,0.0535590077
94015,9.0535416351,1,0.0264681619,0.0416346597
94019,7.0043986046,1,0.026020633,0.0212215321
94020,2.3744880934,1,-0.0143205191,0.0185185185
94022,9.5040194145,1,0.0500732678,0.0065104167
94024,9.9325041711,1,0.0538807353,0.0027173913
94025,9.8468072198,1,0.0489153008,0.0116451408
94027,9.7611102685,1,0.0686381127,0
94028,6.4727741544,1,0.0231086856,0.0072639225
94030,8.4839981799,1,0.0350101361,0.0160520607
94038,9.46989231,1,0.0322047782,0.02734375
94040,9.7360837252,0.8,0.0435675461,0.0102739726
94041,9.9969664796,NA,0.0595206374,0.0197300104
94043,9.8998938268,0.9091,0.0610041991,0.0222724338
94044,7.5686333991,0.8333,0.0257178683,0.0271135062
94061,8.8631882299,1,0.0456103078,0.015625
94062,8.8192021841,1,0.0330863388,0.0070482098
94063,7.6330957076,1,0.0452656651,0.033787789
94065,9.7133323222,1,0.0471541409,0.020979021
94066,9.1597148491,1,0.0407951248,0.0394514372
94070,9.8976186865,1,0.0468574024,0.0119661646
94080,8.9488851813,1,0.0281514699,0.0372834373
94085,9.9575307144,1,0.0584564972,0.0271444083
94086,9.8680418626,1,0.0582610516,0.0214761041
94087,9.9810404975,1,0.0490205517,0.0128205128
94089,9.92416199,1,0.0421588666,0.0449927431
94102,8.9549522221,1,0.0430923162,0.0357781753
94103,8.9504019415,1,0.0415579071,0.0513274336
94105,8.6144395571,1,0.0274274471,0.0535055351
94107,8.7630820567,0.8824,0.036960021,0.0520117763
94108,9.083118459,1,0.0381841282,0.0824175824
94109,8.7062035492,1,0.0348884026,0.0358208955
94110,9.1566813287,1,0.0339365761,0.0230093071
94111,5.8145002275,1,0.0196186906,0.0709677419
94112,7.8674351585,0.9333,0.0343838891,0.0279750689
94114,8.9898377067,1,0.0293718849,0.0218712029
94115,9.5373881389,1,0.0390083573,0.0138408304
94116,9.4706506901,1,0.0443739122,0.0160851274
94117,7.4571515243,1,0.0257954306,0.0176159718
94118,8.4657970575,1,0.0310714877,0.018115942
94121,9.0247231913,1,0.0319113367,0.0170426065
94122,9.060367056,1,0.0357490788,0.0152931181
94123,9.1612316093,1,0.032931324,0.0315533981
94124,9.2143182163,1,0.0512644469,0.0347247876
94127,9.1051114819,0.8571,0.0496993894,0.0124223602
94131,8.9382678599,1,0.0417630643,0.0167818361
