"RegionName","Year","Month","Decrease","Increase"
"94002",1997,2,0.1268,0.8205
"94002",1997,3,0.1195,0.8388
"94002",1997,4,0.0884,0.8711
"94002",1997,5,0.0549,0.9306
"94002",1997,6,0.0511,0.9344
"94002",1997,7,0.0473,0.9363
"94002",1997,8,0.0314,0.9611
"94002",1997,9,0.0355,0.9519
"94002",1997,10,0.037,0.9545
"94002",1997,11,0.034,0.9525
"94002",1997,12,0.0383,0.9486
"94002",1998,1,0.0208,0.9723
"94002",1998,2,0.0038,0.9867
"94002",1998,3,0.0071,0.9884
"94002",1998,4,0.0064,0.9894
"94002",1998,5,0.0099,0.9811
"94002",1998,6,0.0159,0.9741
"94002",1998,7,0.0068,0.9882
"94002",1998,8,0.027,0.9528
"94002",1998,9,0.0374,0.9389
"94002",1998,10,0.032,0.9466
"94002",1998,11,0.0421,0.9259
"94002",1998,12,0.0545,0.9157
"94002",1999,1,0.0794,0.8579
"94002",1999,2,0.096,0.8315
"94002",1999,3,0.0544,0.9028
"94002",1999,4,0.0347,0.9321
"94002",1999,5,0.0535,0.8968
"94002",1999,6,0.0276,0.9476
"94002",1999,7,0.0495,0.9077
"94002",1999,8,0.0406,0.9237
"94002",1999,9,0.0423,0.9222
"94002",1999,10,0.0204,0.9499
"94002",1999,11,0.0109,0.9765
"94002",1999,12,0.0065,0.989
"94002",2000,1,0.0029,0.995
"94002",2000,2,0.005,0.9928
"94002",2000,3,0.0053,0.9916
"94002",2000,4,0.0039,0.9947
"94002",2000,5,0.002,0.997
"94002",2000,6,0.0041,0.994
"94002",2000,7,0.0019,0.9967
"94002",2000,8,0.0021,0.9977
"94002",2000,9,0.001,0.9983
"94002",2000,10,0.001,0.9983
"94002",2000,11,9e-04,0.9989
"94002",2000,12,0.0031,0.9957
"94002",2001,1,4e-04,0.9991
"94002",2001,2,0.0041,0.9943
"94002",2001,3,0.0203,0.9672
"94002",2001,4,0.07,0.8946
"94002",2001,5,0.2104,0.6948
"94002",2001,6,0.302,0.5918
"94002",2001,7,0.421,0.4601
"94002",2001,8,0.4979,0.3859
"94002",2001,9,0.6649,0.2406
"94002",2001,10,0.726,0.2034
"94002",2001,11,0.8509,0.1103
"94002",2001,12,0.9334,0.0464
"94002",2002,1,0.9726,0.0148
"94002",2002,2,0.9585,0.025
"94002",2002,3,0.9184,0.0509
"94002",2002,4,0.8853,0.0716
"94002",2002,5,0.6462,0.247
"94002",2002,6,0.3793,0.5044
"94002",2002,7,0.2376,0.6588
"94002",2002,8,0.1348,0.7914
"94002",2002,9,0.1295,0.7994
"94002",2002,10,0.1325,0.8007
"94002",2002,11,0.0617,0.9025
"94002",2002,12,0.0798,0.8799
"94002",2003,1,0.0898,0.864
"94002",2003,2,0.0758,0.883
"94002",2003,3,0.0992,0.8481
"94002",2003,4,0.1974,0.6961
"94002",2003,5,0.2846,0.5663
"94002",2003,6,0.3823,0.4525
"94002",2003,7,0.3603,0.4961
"94002",2003,8,0.2743,0.6094
"94002",2003,9,0.1825,0.7185
"94002",2003,10,0.1191,0.8016
"94002",2003,11,0.0749,0.8699
"94002",2003,12,0.0346,0.9364
"94002",2004,1,0.0256,0.9569
"94002",2004,2,0.0257,0.9575
"94002",2004,3,0.0181,0.9601
"94002",2004,4,0.019,0.9687
"94002",2004,5,0.0181,0.9769
"94002",2004,6,0.013,0.9835
"94002",2004,7,0.0133,0.9833
"94002",2004,8,0.0136,0.9838
"94002",2004,9,0.0152,0.9816
"94002",2004,10,0.0172,0.9772
"94002",2004,11,0.0177,0.9771
"94002",2004,12,0.0172,0.9787
"94002",2005,1,0.0212,0.9718
"94002",2005,2,0.0199,0.9722
"94002",2005,3,0.0109,0.9827
"94002",2005,4,0.007,0.9894
"94002",2005,5,0.0076,0.9872
"94002",2005,6,0.0093,0.9822
"94002",2005,7,0.0131,0.9767
"94002",2005,8,0.0182,0.9686
"94002",2005,9,0.0182,0.9675
"94002",2005,10,0.0044,0.9918
"94002",2005,11,0.0045,0.9934
"94002",2005,12,0.0057,0.9886
"94002",2006,1,0.0102,0.9801
"94002",2006,2,0.014,0.9687
"94002",2006,3,0.0191,0.9563
"94002",2006,4,0.0315,0.9243
"94002",2006,5,0.0475,0.8828
"94002",2006,6,0.0707,0.8263
"94002",2006,7,0.1713,0.6633
"94002",2006,8,0.1954,0.5986
"94002",2006,9,0.3102,0.4956
"94002",2006,10,0.4282,0.3938
"94002",2006,11,0.5782,0.2706
"94002",2006,12,0.617,0.2456
"94002",2007,1,0.6477,0.2268
"94002",2007,2,0.656,0.2312
"94002",2007,3,0.6564,0.2444
"94002",2007,4,0.6333,0.2575
"94002",2007,5,0.585,0.254
"94002",2007,6,0.5351,0.2648
"94002",2007,7,0.4591,0.3342
"94002",2007,8,0.4258,0.3977
"94002",2007,9,0.423,0.4175
"94002",2007,10,0.3931,0.4161
"94002",2007,11,0.3467,0.4604
"94002",2007,12,0.3787,0.4298
"94002",2008,1,0.4558,0.3639
"94002",2008,2,0.542,0.294
"94002",2008,3,0.5866,0.2675
"94002",2008,4,0.6525,0.2252
"94002",2008,5,0.5885,0.3007
"94002",2008,6,0.6167,0.2924
"94002",2008,7,0.5839,0.3136
"94002",2008,8,0.6387,0.2582
"94002",2008,9,0.6883,0.2106
"94002",2008,10,0.7356,0.173
"94002",2008,11,0.8552,0.0805
"94002",2008,12,0.915,0.0367
"94002",2009,1,0.9464,0.0203
"94002",2009,2,0.9572,0.0178
"94002",2009,3,0.9696,0.0156
"94002",2009,4,0.9619,0.0182
"94002",2009,5,0.9669,0.0181
"94002",2009,6,0.9678,0.016
"94002",2009,7,0.9385,0.0318
"94002",2009,8,0.8492,0.0862
"94002",2009,9,0.7896,0.1256
"94002",2009,10,0.7471,0.1593
"94002",2009,11,0.63,0.2539
"94002",2009,12,0.5379,0.3422
"94002",2010,1,0.4354,0.4439
"94002",2010,2,0.3353,0.5371
"94002",2010,3,0.2398,0.6246
"94002",2010,4,0.1961,0.6737
"94002",2010,5,0.1819,0.6783
"94002",2010,6,0.2297,0.6152
"94002",2010,7,0.3489,0.4756
"94002",2010,8,0.4359,0.3877
"94002",2010,9,0.4924,0.3406
"94002",2010,10,0.537,0.3021
"94002",2010,11,0.5941,0.2529
"94002",2010,12,0.6071,0.2519
"94002",2011,1,0.6442,0.2262
"94002",2011,2,0.6573,0.2159
"94002",2011,3,0.7145,0.1869
"94002",2011,4,0.7049,0.1772
"94002",2011,5,0.7194,0.1629
"94002",2011,6,0.6692,0.1866
"94002",2011,7,0.5883,0.2501
"94002",2011,8,0.5716,0.2648
"94002",2011,9,0.5399,0.304
"94002",2011,10,0.5017,0.3413
"94002",2011,11,0.4393,0.4052
"94002",2011,12,0.4446,0.4092
"94002",2012,1,0.3956,0.4623
"94002",2012,2,0.3387,0.5186
"94002",2012,3,0.2442,0.6298
"94002",2012,4,0.1784,0.7105
"94002",2012,5,0.1133,0.8026
"94002",2012,6,0.084,0.8674
"94002",2012,7,0.0676,0.895
"94002",2012,8,0.0571,0.92
"94002",2012,9,0.0463,0.9336
"94002",2012,10,0.043,0.9341
"94002",2012,11,0.0243,0.9563
"94002",2012,12,0.0203,0.9692
"94002",2013,1,0.0198,0.9697
"94002",2013,2,0.0164,0.9756
"94002",2013,3,0.0121,0.9797
"94002",2013,4,0.0081,0.9868
"94002",2013,5,0.0043,0.9926
"94002",2013,6,0.0048,0.9933
"94002",2013,7,0.0042,0.994
"94002",2013,8,0.0041,0.9945
"94002",2013,9,0.0049,0.9938
"94002",2013,10,0.0055,0.9914
"94002",2013,11,0.0056,0.9927
"94002",2013,12,0.0062,0.9916
"94002",2014,1,0.006,0.9916
"94002",2014,2,0.0059,0.992
"94002",2014,3,0.0074,0.9891
"94002",2014,4,0.0093,0.986
"94002",2014,5,0.0171,0.9721
"94002",2014,6,0.0254,0.9533
"94002",2014,7,0.0442,0.9171
"94002",2014,8,0.0663,0.8732
"94002",2014,9,0.0923,0.8398
"94002",2014,10,0.1359,0.7761
