"RegionName","Year","Month","Median"
"Los Angeles",2015,11,513300
"San Diego",2015,11,496600
"Orange",2015,11,633800
"Riverside",2015,11,313400
"San Bernardino",2015,11,271900
"Santa Clara",2015,11,940900
"Alameda",2015,11,697000
"Sacramento",2015,11,290100
"Contra Costa",2015,11,519600
"Fresno",2015,11,198500
"Kern",2015,11,178200
"Ventura",2015,11,527000
"San Francisco",2015,11,1120100
"San Mateo",2015,11,1033700
"San Joaquin",2015,11,267000
"Stanislaus",2015,11,236400
"Sonoma",2015,11,530800
"Tulare",2015,11,171900
"Santa Barbara",2015,11,542600
"Monterey",2015,11,444600
"Solano",2015,11,342200
"Placer",2015,11,412800
"San Luis Obispo",2015,11,527700
"Santa Cruz",2015,11,681700
"Marin",2015,11,955600
"Butte",2015,11,235100
"Yolo",2015,11,362500
"El Dorado",2015,11,376500
"Shasta",2015,11,209800
"Imperial",2015,11,164000
"Kings",2015,11,163700
"Madera",2015,11,195000
"Napa",2015,11,539000
"Humboldt",2015,11,248800
"Nevada",2015,11,379400
"Sutter",2015,11,232300
"Mendocino",2015,11,341300
"Yuba",2015,11,193600
"Lake",2015,11,203100
"Tehama",2015,11,159200
"Tuolumne",2015,11,219600
"San Benito",2015,11,472700
"Calaveras",2015,11,255800
"Amador",2015,11,255100
"Lassen",2015,11,135100
"Glenn",2015,11,173000
"Colusa",2015,11,189600
"Inyo",2015,11,279700
"Mariposa",2015,11,231900
"Sierra",2015,11,163300
