"RegionName","Year","Month","Ratio"
"United States",2010,10,10.68
"San Francisco",2010,10,17.91
"San Jose",2010,10,20.11
"United States",2010,11,10.65
"San Francisco",2010,11,17.69
"San Jose",2010,11,20.16
"United States",2010,12,10.59
"San Francisco",2010,12,17.43
"San Jose",2010,12,19.86
"United States",2011,1,10.56
"San Francisco",2011,1,17.56
"San Jose",2011,1,19.82
"United States",2011,2,10.53
"San Francisco",2011,2,17.62
"San Jose",2011,2,19.71
"United States",2011,3,10.46
"San Francisco",2011,3,17.46
"San Jose",2011,3,19.61
"United States",2011,4,10.42
"San Francisco",2011,4,17.34
"San Jose",2011,4,19.42
"United States",2011,5,10.34
"San Francisco",2011,5,17.19
"San Jose",2011,5,19.2
"United States",2011,6,10.25
"San Francisco",2011,6,17.09
"San Jose",2011,6,19
"United States",2011,7,10.2
"San Francisco",2011,7,17.01
"San Jose",2011,7,18.9
"United States",2011,8,10.15
"San Francisco",2011,8,16.95
"San Jose",2011,8,18.78
"United States",2011,9,10.15
"San Francisco",2011,9,16.87
"San Jose",2011,9,18.68
"United States",2011,10,10.18
"San Francisco",2011,10,16.72
"San Jose",2011,10,18.69
"United States",2011,11,10.21
"San Francisco",2011,11,16.65
"San Jose",2011,11,18.77
"United States",2011,12,10.23
"San Francisco",2011,12,16.56
"San Jose",2011,12,18.76
"United States",2012,1,10.25
"San Francisco",2012,1,16.57
"San Jose",2012,1,18.73
"United States",2012,2,10.24
"San Francisco",2012,2,16.63
"San Jose",2012,2,18.93
"United States",2012,3,10.23
"San Francisco",2012,3,16.7
"San Jose",2012,3,19.15
"United States",2012,4,10.22
"San Francisco",2012,4,16.78
"San Jose",2012,4,19.36
"United States",2012,5,10.19
"San Francisco",2012,5,16.87
"San Jose",2012,5,19.4
"United States",2012,6,10.18
"San Francisco",2012,6,16.99
"San Jose",2012,6,19.5
"United States",2012,7,10.18
"San Francisco",2012,7,17.18
"San Jose",2012,7,19.61
"United States",2012,8,10.18
"San Francisco",2012,8,17.37
"San Jose",2012,8,19.77
"United States",2012,9,10.2
"San Francisco",2012,9,17.57
"San Jose",2012,9,20.08
"United States",2012,10,10.24
"San Francisco",2012,10,17.78
"San Jose",2012,10,20.28
"United States",2012,11,10.27
"San Francisco",2012,11,17.98
"San Jose",2012,11,20.57
"United States",2012,12,10.31
"San Francisco",2012,12,18.11
"San Jose",2012,12,20.67
"United States",2013,1,10.36
"San Francisco",2013,1,18.22
"San Jose",2013,1,20.77
"United States",2013,2,10.39
"San Francisco",2013,2,18.39
"San Jose",2013,2,20.85
"United States",2013,3,10.44
"San Francisco",2013,3,18.59
"San Jose",2013,3,21.19
"United States",2013,4,10.45
"San Francisco",2013,4,18.82
"San Jose",2013,4,21.55
"United States",2013,5,10.44
"San Francisco",2013,5,19.21
"San Jose",2013,5,22.09
"United States",2013,6,10.45
"San Francisco",2013,6,19.57
"San Jose",2013,6,22.47
"United States",2013,7,10.48
"San Francisco",2013,7,19.95
"San Jose",2013,7,22.6
"United States",2013,8,10.49
"San Francisco",2013,8,20.15
"San Jose",2013,8,22.57
"United States",2013,9,10.52
"San Francisco",2013,9,20.31
"San Jose",2013,9,22.56
"United States",2013,10,10.57
"San Francisco",2013,10,20.38
"San Jose",2013,10,22.87
"United States",2013,11,10.65
"San Francisco",2013,11,20.53
"San Jose",2013,11,23.05
"United States",2013,12,10.72
"San Francisco",2013,12,20.53
"San Jose",2013,12,23.11
"United States",2014,1,10.82
"San Francisco",2014,1,20.58
"San Jose",2014,1,22.87
"United States",2014,2,10.9
"San Francisco",2014,2,20.6
"San Jose",2014,2,22.86
"United States",2014,3,10.96
"San Francisco",2014,3,20.6
"San Jose",2014,3,22.97
"United States",2014,4,10.96
"San Francisco",2014,4,20.73
"San Jose",2014,4,23.17
"United States",2014,5,10.96
"San Francisco",2014,5,20.84
"San Jose",2014,5,23.2
"United States",2014,6,10.97
"San Francisco",2014,6,20.85
"San Jose",2014,6,23.21
"United States",2014,7,10.85
"San Francisco",2014,7,20.35
"San Jose",2014,7,22.66
"United States",2014,8,10.77
"San Francisco",2014,8,19.97
"San Jose",2014,8,22.17
"United States",2014,9,10.74
"San Francisco",2014,9,19.71
"San Jose",2014,9,21.92
"United States",2014,10,10.74
"San Francisco",2014,10,19.45
"San Jose",2014,10,21.77
"United States",2014,11,10.77
"San Francisco",2014,11,19.37
"San Jose",2014,11,21.73
"United States",2014,12,10.78
"San Francisco",2014,12,19.31
"San Jose",2014,12,21.74
"United States",2015,1,10.78
"San Francisco",2015,1,19.28
"San Jose",2015,1,21.8
"United States",2015,2,10.8
"San Francisco",2015,2,19.33
"San Jose",2015,2,21.9
"United States",2015,3,10.81
"San Francisco",2015,3,19.41
"San Jose",2015,3,21.9
"United States",2015,4,10.79
"San Francisco",2015,4,19.53
"San Jose",2015,4,22.02
"United States",2015,5,10.76
"San Francisco",2015,5,19.58
"San Jose",2015,5,22.02
"United States",2015,6,10.73
"San Francisco",2015,6,19.51
"San Jose",2015,6,22.03
"United States",2015,7,10.69
"San Francisco",2015,7,19.46
"San Jose",2015,7,22.1
"United States",2015,8,10.69
"San Francisco",2015,8,19.51
"San Jose",2015,8,22.19
"United States",2015,9,10.79
"San Francisco",2015,9,19.55
"San Jose",2015,9,22.27
"United States",2015,10,10.87
"San Francisco",2015,10,19.48
"San Jose",2015,10,22.32
"United States",2015,11,10.94
"San Francisco",2015,11,19.54
"San Jose",2015,11,22.43
94565,2010,10,8.91
94112,2010,10,14.96
94544,2010,10,12.63
94110,2010,10,18.67
94587,2010,10,16.95
95035,2010,10,17.58
94538,2010,10,17.52
94501,2010,10,20.97
94536,2010,10,19.44
94513,2010,10,12.15
95111,2010,10,13.8
95127,2010,10,14.03
94806,2010,10,10.23
95123,2010,10,16.69
94509,2010,10,8.32
94122,2010,10,18.37
94080,2010,10,18.71
95122,2010,10,12.45
94109,2010,10,19.37
94015,2010,10,18.99
94541,2010,10,13.18
95020,2010,10,14.32
94087,2010,10,25.82
95051,2010,10,20.58
95125,2010,10,22.28
94539,2010,10,24.83
95112,2010,10,16.07
95014,2010,10,26.86
95116,2010,10,12.86
95148,2010,10,17.42
94601,2010,10,11.13
94014,2010,10,18.01
94550,2010,10,17.72
94553,2010,10,15.58
95136,2010,10,17.43
94901,2010,10,16.47
95037,2010,10,18.18
94086,2010,10,22.49
94025,2010,10,20.28
94560,2010,10,16.1
95008,2010,10,21.32
94577,2010,10,15.27
94303,2010,10,24.08
94116,2010,10,18.46
94121,2010,10,19.07
94546,2010,10,17.64
95124,2010,10,21.14
94551,2010,10,15.83
95129,2010,10,25.21
94118,2010,10,20.84
94605,2010,10,13.23
94066,2010,10,19.18
94403,2010,10,20.35
94010,2010,10,20.23
94520,2010,10,11.69
95132,2010,10,18.78
94117,2010,10,20.2
94583,2010,10,19.87
94124,2010,10,11.66
94568,2010,10,18.31
94555,2010,10,19.94
94804,2010,10,9.94
94606,2010,10,13.24
94134,2010,10,13.81
94561,2010,10,9.69
94566,2010,10,23.98
94044,2010,10,19
94578,2010,10,15.04
94523,2010,10,19.09
95120,2010,10,24.15
94401,2010,10,18.72
95128,2010,10,19.39
95121,2010,10,15.16
94132,2010,10,16.05
94115,2010,10,20.22
94521,2010,10,16.02
94404,2010,10,19.76
95070,2010,10,26.89
94621,2010,10,7.61
94061,2010,10,20.28
94582,2010,10,19.31
94526,2010,10,22.48
94531,2010,10,10.37
94040,2010,10,26.58
94114,2010,10,21.14
95117,2010,10,20.41
94801,2010,10,7.6
95050,2010,10,20.05
94611,2010,10,24.7
94063,2010,10,16.29
94603,2010,10,9.75
94545,2010,10,13.12
94598,2010,10,21.53
94580,2010,10,14.56
94941,2010,10,14.93
95131,2010,10,18.32
94002,2010,10,20.32
94133,2010,10,20.69
94306,2010,10,26.93
94608,2010,10,15.16
94062,2010,10,20.3
95133,2010,10,14.99
94610,2010,10,23.81
94530,2010,10,22.13
94602,2010,10,20.86
94402,2010,10,20.34
94549,2010,10,23.1
94903,2010,10,18.28
94043,2010,10,21.52
94131,2010,10,19.76
94070,2010,10,20.29
94518,2010,10,16.76
94102,2010,10,15.42
