"RegionName","Year","Month","Portion"
"United States",1998,1,0.023966
"San Francisco",1998,1,0.04726
"San Jose",1998,1,0.015923
"United States",1998,2,0.024995
"San Francisco",1998,2,0.04941
"San Jose",1998,2,0.013956
"United States",1998,3,0.024626
"San Francisco",1998,3,0.047449
"San Jose",1998,3,0.011737
"United States",1998,4,0.023353
"San Francisco",1998,4,0.04248
"San Jose",1998,4,0.010404
"United States",1998,5,0.02185
"San Francisco",1998,5,0.03676
"San Jose",1998,5,0.009832
"United States",1998,6,0.020518
"San Francisco",1998,6,0.033758
"San Jose",1998,6,0.008845
"United States",1998,7,0.020016
"San Francisco",1998,7,0.032032
"San Jose",1998,7,0.009442
"United States",1998,8,0.020501
"San Francisco",1998,8,0.030249
"San Jose",1998,8,0.008279
"United States",1998,9,0.021566
"San Francisco",1998,9,0.029807
"San Jose",1998,9,0.007174
"United States",1998,10,0.021913
"San Francisco",1998,10,0.031457
"San Jose",1998,10,0.007089
"United States",1998,11,0.021322
"San Francisco",1998,11,0.030912
"San Jose",1998,11,0.00743
"United States",1998,12,0.021145
"San Francisco",1998,12,0.028765
"San Jose",1998,12,0.009111
"United States",1999,1,0.021582
"San Francisco",1999,1,0.032087
"San Jose",1999,1,0.008223
"United States",1999,2,0.023363
"San Francisco",1999,2,0.032569
"San Jose",1999,2,0.008348
"United States",1999,3,0.023755
"San Francisco",1999,3,0.031187
"San Jose",1999,3,0.00757
"United States",1999,4,0.022655
"San Francisco",1999,4,0.027708
"San Jose",1999,4,0.009029
"United States",1999,5,0.019893
"San Francisco",1999,5,0.024759
"San Jose",1999,5,0.00796
"United States",1999,6,0.017657
"San Francisco",1999,6,0.022329
"San Jose",1999,6,0.00682
"United States",1999,7,0.017531
"San Francisco",1999,7,0.019276
"San Jose",1999,7,0.005528
"United States",1999,8,0.018402
"San Francisco",1999,8,0.019257
"San Jose",1999,8,0.005886
"United States",1999,9,0.020057
"San Francisco",1999,9,0.02087
"San Jose",1999,9,0.006668
"United States",1999,10,0.021207
"San Francisco",1999,10,0.020522
"San Jose",1999,10,0.006581
"United States",1999,11,0.021401
"San Francisco",1999,11,0.019278
"San Jose",1999,11,0.006334
"United States",1999,12,0.021887
"San Francisco",1999,12,0.01926
"San Jose",1999,12,0.00529
"United States",2000,1,0.022645
"San Francisco",2000,1,0.021588
"San Jose",2000,1,0.004983
"United States",2000,2,0.023798
"San Francisco",2000,2,0.021734
"San Jose",2000,2,0.005682
"United States",2000,3,0.0242
"San Francisco",2000,3,0.021007
"San Jose",2000,3,0.006039
"United States",2000,4,0.022966
"San Francisco",2000,4,0.018554
"San Jose",2000,4,0.005393
"United States",2000,5,0.020999
"San Francisco",2000,5,0.016847
"San Jose",2000,5,0.005201
"United States",2000,6,0.019493
"San Francisco",2000,6,0.014838
"San Jose",2000,6,0.00385
"United States",2000,7,0.018406
"San Francisco",2000,7,0.014786
"San Jose",2000,7,0.003779
"United States",2000,8,0.01773
"San Francisco",2000,8,0.013207
"San Jose",2000,8,0.004225
"United States",2000,9,0.017903
"San Francisco",2000,9,0.012645
"San Jose",2000,9,0.004825
"United States",2000,10,0.018261
"San Francisco",2000,10,0.012455
"San Jose",2000,10,0.003625
"United States",2000,11,0.018759
"San Francisco",2000,11,0.012298
"San Jose",2000,11,0.003921
"United States",2000,12,0.01934
"San Francisco",2000,12,0.011144
"San Jose",2000,12,0.003693
"United States",2001,1,0.020747
"San Francisco",2001,1,0.011301
"San Jose",2001,1,0.004291
"United States",2001,2,0.021213
"San Francisco",2001,2,0.01182
"San Jose",2001,2,0.003758
"United States",2001,3,0.020256
"San Francisco",2001,3,0.011939
"San Jose",2001,3,0.002955
"United States",2001,4,0.018228
"San Francisco",2001,4,0.009666
"San Jose",2001,4,0.00345
"United States",2001,5,0.016923
"San Francisco",2001,5,0.008739
"San Jose",2001,5,0.003482
"United States",2001,6,0.015892
"San Francisco",2001,6,0.00747
"San Jose",2001,6,0.003992
"United States",2001,7,0.014787
