"RegionName","Year","Month","Portion"
"United States",1998,1,0.037372770546937
"San Francisco",1998,1,0.057534
"San Jose",1998,1,0.05843
"United States",1998,2,0.03767486698834
"San Francisco",1998,2,0.058009
"San Jose",1998,2,0.05875
"United States",1998,3,0.038357595891317
"San Francisco",1998,3,0.058645
"San Jose",1998,3,0.059313
"United States",1998,4,0.039000635494108
"San Francisco",1998,4,0.05915
"San Jose",1998,4,0.059943
"United States",1998,5,0.039513942897685
"San Francisco",1998,5,0.059701
"San Jose",1998,5,0.060439
"United States",1998,6,0.04048561393028
"San Francisco",1998,6,0.060813
"San Jose",1998,6,0.061624
"United States",1998,7,0.041294792742436
"San Francisco",1998,7,0.061974
"San Jose",1998,7,0.062223
"United States",1998,8,0.041870451080843
"San Francisco",1998,8,0.062212
"San Jose",1998,8,0.062063
"United States",1998,9,0.042335982929476
"San Francisco",1998,9,0.062449
"San Jose",1998,9,0.061891
"United States",1998,10,0.042612298931911
"San Francisco",1998,10,0.062319
"San Jose",1998,10,0.06093
"United States",1998,11,0.043063318279778
"San Francisco",1998,11,0.062599
"San Jose",1998,11,0.060882
"United States",1998,12,0.043681432599626
"San Francisco",1998,12,0.063327
"San Jose",1998,12,0.061171
"United States",1999,1,0.04410063511306
"San Francisco",1999,1,0.063557
"San Jose",1999,1,0.0615
"United States",1999,2,0.044578076266913
"San Francisco",1999,2,0.063962
"San Jose",1999,2,0.061841
"United States",1999,3,0.045176534574027
"San Francisco",1999,3,0.064672
"San Jose",1999,3,0.062891
"United States",1999,4,0.045587172951394
"San Francisco",1999,4,0.065251
"San Jose",1999,4,0.063425
"United States",1999,5,0.045938730108143
"San Francisco",1999,5,0.065313
"San Jose",1999,5,0.063447
"United States",1999,6,0.046430947855063
"San Francisco",1999,6,0.065776
"San Jose",1999,6,0.064014
"United States",1999,7,0.046721461962666
"San Francisco",1999,7,0.066011
"San Jose",1999,7,0.064568
"United States",1999,8,0.047273817299411
"San Francisco",1999,8,0.066546
"San Jose",1999,8,0.065116
"United States",1999,9,0.047580126641816
"San Francisco",1999,9,0.067023
"San Jose",1999,9,0.065791
"United States",1999,10,0.04768093444609
"San Francisco",1999,10,0.067359
"San Jose",1999,10,0.066927
"United States",1999,11,0.047994286249872
"San Francisco",1999,11,0.067859
"San Jose",1999,11,0.067893
"United States",1999,12,0.047930476519471
"San Francisco",1999,12,0.067659
"San Jose",1999,12,0.067671
"United States",2000,1,0.047859410538688
"San Francisco",2000,1,0.067526
"San Jose",2000,1,0.067158
"United States",2000,2,0.047951742237663
"San Francisco",2000,2,0.067713
"San Jose",2000,2,0.066803
"United States",2000,3,0.047994940192714
"San Francisco",2000,3,0.067801
"San Jose",2000,3,0.066171
"United States",2000,4,0.047672848191331
"San Francisco",2000,4,0.066529
"San Jose",2000,4,0.064735
"United States",2000,5,0.048046060916813
"San Francisco",2000,5,0.0662
"San Jose",2000,5,0.064155
"United States",2000,6,0.047967135046101
"San Francisco",2000,6,0.065526
"San Jose",2000,6,0.062919
"United States",2000,7,0.047427129168412
"San Francisco",2000,7,0.063966
"San Jose",2000,7,0.061207
"United States",2000,8,0.047451953844764
"San Francisco",2000,8,0.064104
"San Jose",2000,8,0.061333
"United States",2000,9,0.047330106687127
"San Francisco",2000,9,0.063762
"San Jose",2000,9,0.060889
"United States",2000,10,0.04745611644247
"San Francisco",2000,10,0.06369
"San Jose",2000,10,0.060279
"United States",2000,11,0.047541745227314
"San Francisco",2000,11,0.063724
"San Jose",2000,11,0.059957
"United States",2000,12,0.047275326398277
"San Francisco",2000,12,0.062793
"San Jose",2000,12,0.058831
"United States",2001,1,0.047622331106779
"San Francisco",2001,1,0.062399
"San Jose",2001,1,0.057987
"United States",2001,2,0.047593092316243
"San Francisco",2001,2,0.061513
"San Jose",2001,2,0.057025
"United States",2001,3,0.047631410851625
"San Francisco",2001,3,0.060384
"San Jose",2001,3,0.055344
"United States",2001,4,0.047957866663896
"San Francisco",2001,4,0.059338
"San Jose",2001,4,0.053476
"United States",2001,5,0.048194757458447
"San Francisco",2001,5,0.058162
"San Jose",2001,5,0.051897
"United States",2001,6,0.04838486618814
"San Francisco",2001,6,0.056943
"San Jose",2001,6,0.050709
"United States",2001,7,0.049137101669738
"San Francisco",2001,7,0.056528
"San Jose",2001,7,0.049951
"United States",2001,8,0.049720393533244
"San Francisco",2001,8,0.055777
"San Jose",2001,8,0.048562
"United States",2001,9,0.049707088311572
"San Francisco",2001,9,0.054273
"San Jose",2001,9,0.046804
"United States",2001,10,0.050108445730912
"San Francisco",2001,10,0.052978
"San Jose",2001,10,0.044865
"United States",2001,11,0.05017820382601
"San Francisco",2001,11,0.051968
"San Jose",2001,11,0.043224
"United States",2001,12,0.050395652396833
"San Francisco",2001,12,0.051767
"San Jose",2001,12,0.043076
"United States",2002,1,0.050986313693136
"San Francisco",2002,1,0.052407
"San Jose",2002,1,0.044314
"United States",2002,2,0.051501721259303
"San Francisco",2002,2,0.053079
"San Jose",2002,2,0.046179
"United States",2002,3,0.051747503161342
"San Francisco",2002,3,0.053897
"San Jose",2002,3,0.048128
"United States",2002,4,0.052360360786805
"San Francisco",2002,4,0.055896
"San Jose",2002,4,0.051198
"United States",2002,5,0.052772520838863
"San Francisco",2002,5,0.057738
"San Jose",2002,5,0.053636
"United States",2002,6,0.052728907881624
"San Francisco",2002,6,0.058532
"San Jose",2002,6,0.054545
"United States",2002,7,0.052995653682082
"San Francisco",2002,7,0.059465
"San Jose",2002,7,0.055525
"United States",2002,8,0.052834997531931
"San Francisco",2002,8,0.059553
"San Jose",2002,8,0.055637
"United States",2002,9,0.053182731638218
"San Francisco",2002,9,0.060199
"San Jose",2002,9,0.056455
"United States",2002,10,0.053558799075722
"San Francisco",2002,10,0.0616
"San Jose",2002,10,0.05791
"United States",2002,11,0.053817584379659
"San Francisco",2002,11,0.062368
"San Jose",2002,11,0.058564
"United States",2002,12,0.054359677844113
"San Francisco",2002,12,0.063164
"San Jose",2002,12,0.059151
"United States",2003,1,0.05451563063613
"San Francisco",2003,1,0.063209
"San Jose",2003,1,0.058798
"United States",2003,2,0.054629026840115
"San Francisco",2003,2,0.062871
"San Jose",2003,2,0.057605
"United States",2003,3,0.054740939096882
"San Francisco",2003,3,0.062112
"San Jose",2003,3,0.055768
"United States",2003,4,0.054743215321005
"San Francisco",2003,4,0.061584
"San Jose",2003,4,0.054409
"United States",2003,5,0.05472734463126
"San Francisco",2003,5,0.061173
"San Jose",2003,5,0.053769
"United States",2003,6,0.055081919985742
"San Francisco",2003,6,0.061473
"San Jose",2003,6,0.054099
"United States",2003,7,0.055685924231189
"San Francisco",2003,7,0.062394
"San Jose",2003,7,0.055916
"United States",2003,8,0.056270863527624
"San Francisco",2003,8,0.063665
"San Jose",2003,8,0.058146
"United States",2003,9,0.057465931495739
"San Francisco",2003,9,0.06554
"San Jose",2003,9,0.060591
"United States",2003,10,0.058185344076993
"San Francisco",2003,10,0.066633
"San Jose",2003,10,0.062392
"United States",2003,11,0.05845215275657
"San Francisco",2003,11,0.067135
"San Jose",2003,11,0.063652
"United States",2003,12,0.058890571128903
"San Francisco",2003,12,0.068011
"San Jose",2003,12,0.065052
"United States",2004,1,0.059547871715982
"San Francisco",2004,1,0.068266
"San Jose",2004,1,0.065503
"United States",2004,2,0.060275345400347
"San Francisco",2004,2,0.068805
"San Jose",2004,2,0.066252
"United States",2004,3,0.061619197940864
"San Francisco",2004,3,0.069987
"San Jose",2004,3,0.068527
"United States",2004,4,0.062862720558414
"San Francisco",2004,4,0.071401
"San Jose",2004,4,0.071385
"United States",2004,5,0.063944618687374
"San Francisco",2004,5,0.072056
"San Jose",2004,5,0.07314
"United States",2004,6,0.065736950259334
"San Francisco",2004,6,0.073988
"San Jose",2004,6,0.076189
"United States",2004,7,0.066879815982496
"San Francisco",2004,7,0.074778
"San Jose",2004,7,0.076978
"United States",2004,8,0.067960745773017
"San Francisco",2004,8,0.075158
"San Jose",2004,8,0.077465
"United States",2004,9,0.068483095193969
"San Francisco",2004,9,0.075219
"San Jose",2004,9,0.077847
"United States",2004,10,0.068704806969088
"San Francisco",2004,10,0.07499
"San Jose",2004,10,0.077751
"United States",2004,11,0.069764232100763
"San Francisco",2004,11,0.07587
"San Jose",2004,11,0.078834
"United States",2004,12,0.070554622632033
"San Francisco",2004,12,0.075922
"San Jose",2004,12,0.079099
"United States",2005,1,0.070935821005682
"San Francisco",2005,1,0.075814
"San Jose",2005,1,0.079256
"United States",2005,2,0.071229214976956
"San Francisco",2005,2,0.075529
"San Jose",2005,2,0.079321
"United States",2005,3,0.071627981776574
"San Francisco",2005,3,0.075484
"San Jose",2005,3,0.07882
"United States",2005,4,0.071798560251772
"San Francisco",2005,4,0.074589
"San Jose",2005,4,0.07761
"United States",2005,5,0.072102278974456
"San Francisco",2005,5,0.073824
"San Jose",2005,5,0.07704
"United States",2005,6,0.072297946218307
"San Francisco",2005,6,0.073192
"San Jose",2005,6,0.076022
"United States",2005,7,0.07201712807092
"San Francisco",2005,7,0.072115
"San Jose",2005,7,0.075165
"United States",2005,8,0.072644271832318
"San Francisco",2005,8,0.071866
"San Jose",2005,8,0.074273
"United States",2005,9,0.073128931509082
"San Francisco",2005,9,0.071612
"San Jose",2005,9,0.073548
"United States",2005,10,0.073329503324249
"San Francisco",2005,10,0.070819
"San Jose",2005,10,0.073012
"United States",2005,11,0.073441428156839
"San Francisco",2005,11,0.070229
"San Jose",2005,11,0.072048
"United States",2005,12,0.073396771406218
"San Francisco",2005,12,0.069232
"San Jose",2005,12,0.071103
"United States",2006,1,0.073331729245077
"San Francisco",2006,1,0.068589
"San Jose",2006,1,0.070097
"United States",2006,2,0.073236555409903
"San Francisco",2006,2,0.068033
"San Jose",2006,2,0.069193
"United States",2006,3,0.073092449043987
"San Francisco",2006,3,0.067162
"San Jose",2006,3,0.068468
"United States",2006,4,0.072353330146703
"San Francisco",2006,4,0.065776
"San Jose",2006,4,0.066619
"United States",2006,5,0.072081943867231
"San Francisco",2006,5,0.064783
"San Jose",2006,5,0.065033
"United States",2006,6,0.071330060508702
"San Francisco",2006,6,0.063085
"San Jose",2006,6,0.062955
"United States",2006,7,0.070315304703472
"San Francisco",2006,7,0.061261
"San Jose",2006,7,0.060839
"United States",2006,8,0.069056452156604
"San Francisco",2006,8,0.059757
"San Jose",2006,8,0.05937
"United States",2006,9,0.06771759221817
"San Francisco",2006,9,0.058187
"San Jose",2006,9,0.057376
"United States",2006,10,0.066976134217643
"San Francisco",2006,10,0.057204
"San Jose",2006,10,0.056088
"United States",2006,11,0.066154932917851
"San Francisco",2006,11,0.056032
"San Jose",2006,11,0.055017
"United States",2006,12,0.065176948821666
"San Francisco",2006,12,0.055322
"San Jose",2006,12,0.05418
"United States",2007,1,0.064921282322052
"San Francisco",2007,1,0.055275
"San Jose",2007,1,0.054213
"United States",2007,2,0.064562053912733
"San Francisco",2007,2,0.055285
"San Jose",2007,2,0.054194
"United States",2007,3,0.063570500502573
"San Francisco",2007,3,0.054633
"San Jose",2007,3,0.053192
"United States",2007,4,0.062919248886784
"San Francisco",2007,4,0.054023
"San Jose",2007,4,0.052539
"United States",2007,5,0.061887842690729
"San Francisco",2007,5,0.053256
"San Jose",2007,5,0.052217
"United States",2007,6,0.060593790412803
"San Francisco",2007,6,0.052154
"San Jose",2007,6,0.051556
"United States",2007,7,0.060021087393009
"San Francisco",2007,7,0.051909
"San Jose",2007,7,0.051601
"United States",2007,8,0.059045278914356
"San Francisco",2007,8,0.050782
"San Jose",2007,8,0.051033
"United States",2007,9,0.057743857203632
"San Francisco",2007,9,0.049293
"San Jose",2007,9,0.049583
"United States",2007,10,0.056657192837419
"San Francisco",2007,10,0.048335
"San Jose",2007,10,0.048336
"United States",2007,11,0.055569333767937
"San Francisco",2007,11,0.047474
"San Jose",2007,11,0.047243
"United States",2007,12,0.054394110449914
"San Francisco",2007,12,0.046305
"San Jose",2007,12,0.04601
"United States",2008,1,0.053149267370856
"San Francisco",2008,1,0.045728
"San Jose",2008,1,0.045235
"United States",2008,2,0.05227847959748
"San Francisco",2008,2,0.045222
"San Jose",2008,2,0.044655
"United States",2008,3,0.050803373183059
"San Francisco",2008,3,0.044144
"San Jose",2008,3,0.0434
"United States",2008,4,0.049900542210419
"San Francisco",2008,4,0.044241
"San Jose",2008,4,0.04304
"United States",2008,5,0.048705059240116
"San Francisco",2008,5,0.044423
"San Jose",2008,5,0.042628
"United States",2008,6,0.047583647872504
"San Francisco",2008,6,0.044786
"San Jose",2008,6,0.042363
"United States",2008,7,0.04682369083504
"San Francisco",2008,7,0.04576
"San Jose",2008,7,0.042554
"United States",2008,8,0.045722727757067
"San Francisco",2008,8,0.046975
"San Jose",2008,8,0.043458
"United States",2008,9,0.045681768298669
"San Francisco",2008,9,0.048759
"San Jose",2008,9,0.045433
"United States",2008,10,0.045297161876747
"San Francisco",2008,10,0.049517
"San Jose",2008,10,0.046098
"United States",2008,11,0.044480902875742
"San Francisco",2008,11,0.049623
"San Jose",2008,11,0.046005
"United States",2008,12,0.044061071571113
"San Francisco",2008,12,0.050562
"San Jose",2008,12,0.046294
"United States",2009,1,0.043451043506025
"San Francisco",2009,1,0.051001
"San Jose",2009,1,0.046711
"United States",2009,2,0.042984367257418
"San Francisco",2009,2,0.051109
"San Jose",2009,2,0.046652
"United States",2009,3,0.042449391709284
"San Francisco",2009,3,0.05071
"San Jose",2009,3,0.046239
"United States",2009,4,0.041690239524549
"San Francisco",2009,4,0.049985
"San Jose",2009,4,0.04569
"United States",2009,5,0.039725847175936
"San Francisco",2009,5,0.049591
"San Jose",2009,5,0.045349
"United States",2009,6,0.038940989553741
"San Francisco",2009,6,0.050018
"San Jose",2009,6,0.046124
"United States",2009,7,0.038777485178158
"San Francisco",2009,7,0.050151
"San Jose",2009,7,0.046886
"United States",2009,8,0.038595880517689
"San Francisco",2009,8,0.04962
"San Jose",2009,8,0.046629
"United States",2009,9,0.039565421044549
"San Francisco",2009,9,0.049451
"San Jose",2009,9,0.046646
"United States",2009,10,0.039442004319779
"San Francisco",2009,10,0.049433
"San Jose",2009,10,0.047371
"United States",2009,11,0.040369838119521
"San Francisco",2009,11,0.050125
"San Jose",2009,11,0.04858
"United States",2009,12,0.040175568166254
"San Francisco",2009,12,0.050518
"San Jose",2009,12,0.049541
"United States",2010,1,0.040408994440209
"San Francisco",2010,1,0.050609
"San Jose",2010,1,0.049741
"United States",2010,2,0.040373033797528
"San Francisco",2010,2,0.050657
"San Jose",2010,2,0.050021
"United States",2010,3,0.040880240549938
"San Francisco",2010,3,0.051199
"San Jose",2010,3,0.050839
"United States",2010,4,0.04164898136149
"San Francisco",2010,4,0.051634
"San Jose",2010,4,0.051313
"United States",2010,5,0.042252086680182
"San Francisco",2010,5,0.052269
"San Jose",2010,5,0.052483
"United States",2010,6,0.042643651833533
"San Francisco",2010,6,0.052386
"San Jose",2010,6,0.052205
"United States",2010,7,0.04292796713194
"San Francisco",2010,7,0.051639
"San Jose",2010,7,0.051139
"United States",2010,8,0.04255539683874
"San Francisco",2010,8,0.05136
"San Jose",2010,8,0.051033
"United States",2010,9,0.042150666030995
"San Francisco",2010,9,0.051013
"San Jose",2010,9,0.050346
"United States",2010,10,0.043805397146197
"San Francisco",2010,10,0.050831
"San Jose",2010,10,0.050701
"United States",2010,11,0.043322821563484
"San Francisco",2010,11,0.050573
"San Jose",2010,11,0.050267
"United States",2010,12,0.042094213482754
"San Francisco",2010,12,0.049992
"San Jose",2010,12,0.049569
"United States",2011,1,0.042451190332409
"San Francisco",2011,1,0.05006
"San Jose",2011,1,0.049542
"United States",2011,2,0.041508980710559
"San Francisco",2011,2,0.050117
"San Jose",2011,2,0.049331
"United States",2011,3,0.041056832476311
"San Francisco",2011,3,0.05008
"San Jose",2011,3,0.049267
"United States",2011,4,0.040565884920386
"San Francisco",2011,4,0.049865
"San Jose",2011,4,0.049172
"United States",2011,5,0.039872902444265
"San Francisco",2011,5,0.04908
"San Jose",2011,5,0.048009
"United States",2011,6,0.040239732235037
"San Francisco",2011,6,0.048835
"San Jose",2011,6,0.047628
"United States",2011,7,0.039285588734572
"San Francisco",2011,7,0.048952
"San Jose",2011,7,0.047573
"United States",2011,8,0.039838348956046
"San Francisco",2011,8,0.049409
"San Jose",2011,8,0.047636
"United States",2011,9,0.039817321098774
"San Francisco",2011,9,0.049561
"San Jose",2011,9,0.047777
"United States",2011,10,0.039940254712519
"San Francisco",2011,10,0.04942
"San Jose",2011,10,0.047747
"United States",2011,11,0.040076118289546
"San Francisco",2011,11,0.049366
"San Jose",2011,11,0.047676
"United States",2011,12,0.040118338212997
"San Francisco",2011,12,0.049413
"San Jose",2011,12,0.047253
"United States",2012,1,0.041225541776777
"San Francisco",2012,1,0.049682
"San Jose",2012,1,0.047782
"United States",2012,2,0.041606331224688
"San Francisco",2012,2,0.0499
"San Jose",2012,2,0.04788
"United States",2012,3,0.041604459579754
"San Francisco",2012,3,0.049373
"San Jose",2012,3,0.047239
"United States",2012,4,0.041955041497279
"San Francisco",2012,4,0.049211
"San Jose",2012,4,0.047697
"United States",2012,5,0.042532266149253
"San Francisco",2012,5,0.049505
"San Jose",2012,5,0.047695
"United States",2012,6,0.042799394398878
"San Francisco",2012,6,0.049375
"San Jose",2012,6,0.04765
"United States",2012,7,0.043279272147143
"San Francisco",2012,7,0.049709
"San Jose",2012,7,0.047972
