"RegionName","Year","Month","AllHomes","PerSqft"
"94002",2010,11,3156,1.848
"94002",2010,12,3282,1.9
"94002",2011,1,3249,1.876
"94002",2011,2,3226,1.88
"94002",2011,3,3182,1.888
"94002",2011,4,3166,1.9
"94002",2011,5,3171,1.904
"94002",2011,6,3206,1.918
"94002",2011,7,3253,1.934
"94002",2011,8,3301,1.952
"94002",2011,9,3314,1.962
"94002",2011,10,3313,1.97
"94002",2011,11,3327,1.994
"94002",2011,12,3305,2.006
"94002",2012,1,3330,2.024
"94002",2012,2,3332,2.014
"94002",2012,3,3333,1.988
"94002",2012,4,3333,1.966
"94002",2012,5,3364,1.972
"94002",2012,6,3389,1.982
"94002",2012,7,3393,1.99
"94002",2012,8,3367,1.986
"94002",2012,9,3380,1.998
"94002",2012,10,3415,2.022
"94002",2012,11,3497,2.062
"94002",2012,12,3502,2.078
"94002",2013,1,3528,2.096
"94002",2013,2,3542,2.108
"94002",2013,3,3569,2.118
"94002",2013,4,3596,2.13
"94002",2013,5,3601,2.136
"94002",2013,6,3585,2.136
"94002",2013,7,3555,2.138
"94002",2013,8,3541,2.144
"94002",2013,9,3543,2.148
"94002",2013,10,3549,2.138
"94002",2013,11,3545,2.126
"94002",2013,12,3527,2.116
"94002",2014,1,3571,2.146
"94002",2014,2,3641,2.19
"94002",2014,3,3708,2.238
"94002",2014,4,3758,2.278
"94002",2014,5,3789,2.31
"94002",2014,6,3823,2.344
"94002",2014,7,3882,2.38
"94002",2014,8,3958,2.418
"94002",2014,9,4041,2.46
"94002",2014,10,4125,2.5
"94002",2014,11,4212,2.542
"94002",2014,12,4254,2.568
"94002",2015,1,4297,2.592
"94002",2015,2,4341,2.612
"94002",2015,3,4396,2.638
"94002",2015,4,4439,2.662
"94002",2015,5,4477,2.684
"94002",2015,6,4522,2.7
"94002",2015,7,4568,2.712
"94002",2015,8,4610,2.724
"94002",2015,9,4635,2.736
"94002",2015,10,4642,2.754
"94002",2015,11,4659,2.774
"94005",2010,11,2228,1.65
"94005",2010,12,2253,1.686
"94005",2011,1,2288,1.708
"94005",2011,2,2308,1.718
"94005",2011,3,2326,1.734
"94005",2011,4,2334,1.746
"94005",2011,5,2348,1.76
"94005",2011,6,2374,1.772
"94005",2011,7,2408,1.784
"94005",2011,8,2446,1.79
"94005",2011,9,2480,1.792
"94005",2011,10,2494,1.788
"94005",2011,11,2504,1.806
"94005",2011,12,2490,1.814
"94005",2012,1,2482,1.83
"94005",2012,2,2478,1.832
"94005",2012,3,2464,1.832
"94005",2012,4,2453,1.826
"94005",2012,5,2445,1.824
"94005",2012,6,2445,1.826
"94005",2012,7,2457,1.836
"94005",2012,8,2476,1.856
"94005",2012,9,2503,1.874
"94005",2012,10,2516,1.882
"94005",2012,11,2542,1.904
"94005",2012,12,2559,1.932
"94005",2013,1,2580,1.948
"94005",2013,2,2627,1.966
"94005",2013,3,2676,1.984
"94005",2013,4,2716,2.004
"94005",2013,5,2723,2.018
"94005",2013,6,2724,2.032
"94005",2013,7,2713,2.036
"94005",2013,8,2698,2.026
"94005",2013,9,2682,2.012
"94005",2013,10,2696,2.012
"94005",2013,11,2723,2.01
"94005",2013,12,2744,2.014
"94005",2014,1,2768,2.016
"94005",2014,2,2784,2.044
"94005",2014,3,2789,2.062
"94005",2014,4,2796,2.088
"94005",2014,5,2822,2.12
"94005",2014,6,2857,2.15
"94005",2014,7,2893,2.176
"94005",2014,8,2936,2.204
"94005",2014,9,2992,2.25
"94005",2014,10,3054,2.298
"94005",2014,11,3124,2.348
"94005",2014,12,3178,2.386
"94005",2015,1,3202,2.394
"94005",2015,2,3218,2.398
"94005",2015,3,3249,2.41
"94005",2015,4,3295,2.422
"94005",2015,5,3350,2.428
"94005",2015,6,3389,2.438
"94005",2015,7,3419,2.454
"94005",2015,8,3437,2.48
"94005",2015,9,3443,2.5
"94005",2015,10,3446,2.518
"94005",2015,11,3467,2.558
"94010",2010,11,4615,2.154
"94010",2010,12,4761,2.196
"94010",2011,1,4526,2.108
