"RegionName","Year","Month","Median"
"California",1996,4,158700
"Florida",1996,4,87000
"Illinois",1996,4,113900
"Pennsylvania",1996,4,84200
"Ohio",1996,4,88600
"Michigan",1996,4,89600
"Georgia",1996,4,92900
"North Carolina",1996,4,92400
"New Jersey",1996,4,142700
"Virginia",1996,4,113500
"Washington",1996,4,135200
"Massachusetts",1996,4,140500
"Indiana",1996,4,72100
"Arizona",1996,4,103300
"Tennessee",1996,4,71900
"Missouri",1996,4,80700
"Maryland",1996,4,128700
"Minnesota",1996,4,97500
"Colorado",1996,4,128800
"Alabama",1996,4,79800
"South Carolina",1996,4,80800
"Kentucky",1996,4,79100
"Oregon",1996,4,126400
"Oklahoma",1996,4,57500
"Connecticut",1996,4,135000
"Mississippi",1996,4,64200
"Arkansas",1996,4,66400
"Utah",1996,4,126400
"Nevada",1996,4,127400
"New Mexico",1996,4,118400
"Nebraska",1996,4,83000
"Idaho",1996,4,109300
"Hawaii",1996,4,227100
"New Hampshire",1996,4,98600
"Rhode Island",1996,4,115900
"Delaware",1996,4,107900
"California",1996,5,158600
"Florida",1996,5,87300
"Illinois",1996,5,114300
"Pennsylvania",1996,5,84500
"Ohio",1996,5,88800
"Michigan",1996,5,88800
"Georgia",1996,5,93300
"North Carolina",1996,5,92700
"New Jersey",1996,5,142400
"Virginia",1996,5,114100
"Washington",1996,5,135700
"Massachusetts",1996,5,140800
"Indiana",1996,5,74200
"Arizona",1996,5,103600
"Tennessee",1996,5,72300
"Missouri",1996,5,81400
"Maryland",1996,5,128400
"Minnesota",1996,5,98000
"Colorado",1996,5,129100
"Alabama",1996,5,79700
"South Carolina",1996,5,80900
"Kentucky",1996,5,79000
"Oregon",1996,5,127100
"Oklahoma",1996,5,57500
"Connecticut",1996,5,135300
"Mississippi",1996,5,64200
"Arkansas",1996,5,66300
"Utah",1996,5,126500
"Nevada",1996,5,127000
"New Mexico",1996,5,116400
"Nebraska",1996,5,83300
"Idaho",1996,5,109400
"Hawaii",1996,5,225100
"New Hampshire",1996,5,98700
"Rhode Island",1996,5,116400
"Delaware",1996,5,108100
"South Dakota",1996,5,88300
"California",1996,6,158300
"Florida",1996,6,87500
"Illinois",1996,6,114300
"Pennsylvania",1996,6,84600
"Ohio",1996,6,88900
"Michigan",1996,6,88800
"Georgia",1996,6,93500
"North Carolina",1996,6,92900
"New Jersey",1996,6,142200
"Virginia",1996,6,114500
"Washington",1996,6,135900
"Massachusetts",1996,6,141000
"Indiana",1996,6,75200
"Arizona",1996,6,103800
"Tennessee",1996,6,72600
"Missouri",1996,6,82000
"Maryland",1996,6,128000
"Minnesota",1996,6,98000
"Colorado",1996,6,129400
"Alabama",1996,6,80200
"South Carolina",1996,6,81100
"Kentucky",1996,6,79300
"Oregon",1996,6,127600
"Oklahoma",1996,6,57600
"Connecticut",1996,6,135500
"Mississippi",1996,6,64400
"Arkansas",1996,6,66300
"Utah",1996,6,126800
"Nevada",1996,6,126500
"New Mexico",1996,6,115400
"Nebraska",1996,6,83400
"Idaho",1996,6,109500
"Hawaii",1996,6,224100
"New Hampshire",1996,6,98700
