"RegionName","Year","Month","AllHomes","X3To4Bed"
"94002",1996,4,343000,381150
"94002",1996,5,344800,378050
"94002",1996,6,345800,375000
"94002",1996,7,344900,372450
"94002",1996,8,343900,372000
"94002",1996,9,344200,373200
"94002",1996,10,346600,376200
"94002",1996,11,349700,379200
"94002",1996,12,351800,380000
"94002",1997,1,352500,379600
"94002",1997,2,353500,380500
"94002",1997,3,356900,384750
"94002",1997,4,361700,391800
"94002",1997,5,367600,399200
"94002",1997,6,373600,404950
"94002",1997,7,378800,410450
"94002",1997,8,385600,417650
"94002",1997,9,392900,424600
"94002",1997,10,396100,427500
"94002",1997,11,398800,430600
"94002",1997,12,405300,437950
"94002",1998,1,413100,445850
"94002",1998,2,419300,450550
"94002",1998,3,425400,456200
"94002",1998,4,430700,464350
"94002",1998,5,435500,473700
"94002",1998,6,441700,483300
"94002",1998,7,448600,491250
"94002",1998,8,452800,495500
"94002",1998,9,458200,500400
"94002",1998,10,467300,509100
"94002",1998,11,475300,517400
"94002",1998,12,480600,522650
"94002",1999,1,486500,527300
"94002",1999,2,491900,533400
"94002",1999,3,495700,539300
"94002",1999,4,498000,541250
"94002",1999,5,497800,539300
"94002",1999,6,496600,538200
"94002",1999,7,499600,542250
"94002",1999,8,505800,548900
"94002",1999,9,511300,556150
"94002",1999,10,517300,564200
"94002",1999,11,527500,577150
"94002",1999,12,540400,593750
"94002",2000,1,553000,607050
"94002",2000,2,565100,617550
"94002",2000,3,576400,629100
"94002",2000,4,592700,646450
"94002",2000,5,613100,666800
"94002",2000,6,630800,686750
"94002",2000,7,643900,701800
"94002",2000,8,657100,713200
"94002",2000,9,666200,719200
"94002",2000,10,674100,725000
"94002",2000,11,683400,731500
"94002",2000,12,688700,735000
"94002",2001,1,690900,737450
"94002",2001,2,695100,742300
"94002",2001,3,695800,743300
"94002",2001,4,685300,734750
"94002",2001,5,672500,725400
"94002",2001,6,666200,720400
"94002",2001,7,662300,715850
"94002",2001,8,656600,709600
"94002",2001,9,652200,704200
"94002",2001,10,647100,699350
"94002",2001,11,640100,694550
"94002",2001,12,636500,691450
"94002",2002,1,634900,688600
"94002",2002,2,633200,687100
"94002",2002,3,638200,691800
"94002",2002,4,648500,699400
"94002",2002,5,656600,704950
"94002",2002,6,662600,709850
"94002",2002,7,668900,716550
"94002",2002,8,672500,723750
"94002",2002,9,674400,728800
"94002",2002,10,674300,727700
"94002",2002,11,671600,722450
"94002",2002,12,667900,718350
"94002",2003,1,665900,716900
"94002",2003,2,665800,717000
"94002",2003,3,665800,718150
"94002",2003,4,664700,718950
"94002",2003,5,664500,719250
"94002",2003,6,666000,718300
"94002",2003,7,669700,718150
"94002",2003,8,675600,720600
"94002",2003,9,684500,729950
"94002",2003,10,695600,744150
"94002",2003,11,708800,759650
"94002",2003,12,721000,772400
"94002",2004,1,732500,785850
"94002",2004,2,745000,800750
"94002",2004,3,756700,813250
"94002",2004,4,769100,824400
"94002",2004,5,784100,836050
"94002",2004,6,798600,847050
"94002",2004,7,811700,858550
"94002",2004,8,824600,871300
"94002",2004,9,834800,881800
"94002",2004,10,841700,889550
"94002",2004,11,847400,896350
"94002",2004,12,856600,906150
"94002",2005,1,870900,920100
"94002",2005,2,886600,934000
"94002",2005,3,900600,944950
"94002",2005,4,912300,955950
"94002",2005,5,920500,966250
"94002",2005,6,928100,979550
"94002",2005,7,934600,994500
"94002",2005,8,940100,1006250
"94002",2005,9,947000,1014700
"94002",2005,10,958200,1026500
"94002",2005,11,969500,1036600
"94002",2005,12,977600,1043900
"94002",2006,1,982000,1047950
"94002",2006,2,982800,1049200
"94002",2006,3,979300,1048750
"94002",2006,4,973300,1048600
"94002",2006,5,966300,1049050
"94002",2006,6,954300,1045300
"94002",2006,7,942100,1038450
"94002",2006,8,935000,1034150
"94002",2006,9,931000,1030550
"94002",2006,10,926900,1022700
"94002",2006,11,923600,1017150
"94002",2006,12,921800,1016750
"94002",2007,1,921800,1019300
"94002",2007,2,923700,1021750
"94002",2007,3,925800,1024250
"94002",2007,4,926300,1024200
"94002",2007,5,926200,1020200
"94002",2007,6,927500,1012150
"94002",2007,7,932400,1004400
"94002",2007,8,938300,998800
"94002",2007,9,941600,996750
"94002",2007,10,941100,999800
"94002",2007,11,940000,1005250
"94002",2007,12,938200,1005500
"94002",2008,1,931700,999550
"94002",2008,2,924900,994350
"94002",2008,3,923800,990350
"94002",2008,4,930400,990750
"94002",2008,5,937900,997100
"94002",2008,6,944900,1006000
"94002",2008,7,945300,1008550
"94002",2008,8,938000,1005050
"94002",2008,9,930500,997350
"94002",2008,10,924800,985500
"94002",2008,11,914500,968650
"94002",2008,12,900700,952050
"94002",2009,1,888000,936850
"94002",2009,2,874600,922100
"94002",2009,3,863200,911550
"94002",2009,4,854700,905450
"94002",2009,5,849600,901450
"94002",2009,6,848200,901650
"94002",2009,7,850800,906300
"94002",2009,8,854400,911200
"94002",2009,9,855400,916000
"94002",2009,10,856100,921800
"94002",2009,11,859000,927950
"94002",2009,12,862000,934050
"94002",2010,1,862800,938750
"94002",2010,2,863200,941350
"94002",2010,3,862200,943450
"94002",2010,4,858300,943600
"94002",2010,5,852700,940650
"94002",2010,6,845700,934600
"94002",2010,7,838700,929050
"94002",2010,8,835300,927550
"94002",2010,9,834900,927700
"94002",2010,10,835000,925300
"94002",2010,11,837100,924450
"94002",2010,12,840800,926050
"94002",2011,1,843100,926250
"94002",2011,2,841300,923050
"94002",2011,3,837400,918550
"94002",2011,4,835100,913950
"94002",2011,5,833900,909750
"94002",2011,6,831200,906000
"94002",2011,7,827600,903650
"94002",2011,8,825400,903200
"94002",2011,9,826600,905850
"94002",2011,10,830500,911400
"94002",2011,11,834400,917550
"94002",2011,12,839900,924400
"94002",2012,1,847600,933200
"94002",2012,2,855300,942400
"94002",2012,3,862100,949850
